Incident Number,Year,Responding Agency,Initial Call Type,Final Call Type
15000043,2015,EPD ,ASSAULT,ARREST
15000116,2015,EPD ,FIGHT,ARREST
15000117,2015,EPD ,FIGHT,ARREST
15000175,2015,EPD ,CRIMINAL TRESPASS,ARREST
15000185,2015,EPD ,DISORDERLY SUBJECT,ARREST
15000548,2015,EPD ,WARRANT SERVICE,ARREST
15000836,2015,EPD ,PERSON STOP,ARREST
15000912,2015,EPD ,DISPUTE,ARREST
15001159,2015,EPD ,VIOLATION OF RESTRAINING ORDER,ARREST
15001210,2015,EPD ,HIT AND RUN,ARREST
15001396,2015,EPD ,DISPUTE,ARREST
15001442,2015,EPD ,SHOPLIFT,ARREST
15001518,2015,EPD ,CRIMINAL TRESPASS,ARREST
15001529,2015,EPD ,CHECK WELFARE,ARREST
15001531,2015,EPD ,DISORDERLY SUBJECT,ARREST
15001549,2015,EPD ,CRIMINAL TRESPASS,ARREST
15001596,2015,EPD ,UNATTENDED CHILDREN,ARREST
15001645,2015,EPD ,FIGHT,ARREST
15001648,2015,EPD ,SHOPLIFT,ARREST
15001741,2015,EPD ,ALARM HOLD UP,ARREST
15001758,2015,EPD ,FOLLOW UP,ARREST
15001770,2015,EPD ,INFORMATION - POLICE,ARREST
15001836,2015,EPD ,INFORMATION - POLICE,ARREST
15002116,2015,EPD ,WARRANT SERVICE,ARREST
15002258,2015,EPD ,TRAFFIC STOP,ARREST
15002296,2015,EPD ,PERSON STOP,ARREST
15002316,2015,EPD ,ASSAULT,ARREST
15002402,2015,EPD ,DRUG INFO,ARREST
15002409,2015,EPD ,LOCATION WANTED SUBJECT,ARREST
15002423,2015,EPD ,TRAFFIC STOP,ARREST
15002431,2015,EPD ,SUSPICIOUS SUBJECT,ARREST
15002512,2015,EPD ,DUII,ARREST
15002612,2015,EPD ,DISPUTE,ARREST
15002702,2015,EPD ,WARRANT SERVICE,ARREST
15002718,2015,EPD ,RECOVERED STOLEN VEHICLE,ARREST
15002747,2015,EPD ,WARRANT SERVICE,ARREST
15002929,2015,EPD ,TRAFFIC STOP,ARREST
15003006,2015,EPD ,RECKLESS DRIVING,ARREST
15003040,2015,EPD ,VIOLATION OF CITY ORDINANCE,ARREST
15003075,2015,EPD ,PERSON STOP,ARREST
15003099,2015,EPD ,DISORDERLY SUBJECT,ARREST
15003112,2015,EPD ,WARRANT SERVICE,ARREST
15003140,2015,EPD ,PERSON STOP,ARREST
15003163,2015,EPD ,DRUG INFO,ARREST
15003311,2015,EPD ,WARRANT SERVICE,ARREST
15003587,2015,EPD ,WARRANT SERVICE,ARREST
15003603,2015,EPD ,THEFT,ARREST
15003621,2015,EPD ,WARRANT SERVICE,ARREST
15003729,2015,EPD ,TRAFFIC STOP,ARREST
15003750,2015,EPD ,DISORDERLY SUBJECT,ARREST
15003807,2015,EPD ,DUII,ARREST
15003878,2015,EPD ,WARRANT SERVICE,ARREST
15003917,2015,EPD ,WARRANT SERVICE,ARREST
15004063,2015,EPD ,WARRANT SERVICE,ARREST
15004116,2015,EPD ,WARRANT SERVICE,ARREST
15004168,2015,EPD ,PERSON STOP,ARREST
15004321,2015,EPD ,WARRANT SERVICE,ARREST
15004482,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15004624,2015,EPD ,DISORDERLY SUBJECT,ARREST
15004767,2015,EPD ,CRIMINAL TRESPASS,ARREST
15004863,2015,EPD ,ASSIST OUTSIDE AGENCY,ARREST
15004905,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15004931,2015,EPD ,SUSPICIOUS SUBJECT,ARREST
15004959,2015,EPD ,WARRANT SERVICE,ARREST
15004974,2015,EPD ,WARRANT SERVICE,ARREST
15005004,2015,EPD ,CRIMINAL MISCHIEF,ARREST
15005034,2015,EPD ,WARRANT SERVICE,ARREST
15005078,2015,EPD ,CRIMINAL TRESPASS,ARREST
15005109,2015,EPD ,FRAUD,ARREST
15005190,2015,EPD ,FOLLOW UP,ARREST
15005201,2015,EPD ,FRAUD,ARREST
15005370,2015,EPD ,DISPUTE FAMILY,ARREST
15005409,2015,EPD ,DISPUTE FAMILY,ARREST
15005458,2015,EPD ,DUII,ARREST
15005476,2015,EPD ,DISORDERLY SUBJECT,ARREST
15005559,2015,EPD ,VIOLATION OF RESTRAINING ORDER,ARREST
15005949,2015,EPD ,CRIMINAL TRESPASS,ARREST
15006043,2015,EPD ,TRAFFIC STOP,ARREST
15006156,2015,EPD ,TRAFFIC STOP,ARREST
15006200,2015,EPD ,SUSPICIOUS SUBJECT,ARREST
15006265,2015,EPD ,UNKNOWN PROBLEM,ARREST
15006267,2015,EPD ,DISPUTE,ARREST
15006317,2015,EPD ,CRIMINAL TRESPASS,ARREST
15006417,2015,EPD ,WARRANT SERVICE,ARREST
15006838,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15006903,2015,EPD ,PERSON STOP,ARREST
15006906,2015,EPD ,CRIMINAL TRESPASS,ARREST
15007040,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15007064,2015,EPD ,TRAFFIC STOP,ARREST
15007124,2015,EPD ,TRAFFIC STOP,ARREST
15007138,2015,EPD ,DISORDERLY SUBJECT,ARREST
15007155,2015,EPD ,CRIMINAL MISCHIEF,ARREST
15007225,2015,EPD ,INTOXICATED SUBJECT,ARREST
15007243,2015,EPD ,WARRANT SERVICE,ARREST
15007301,2015,EPD ,VIOLATION OF RESTRAINING ORDER,ARREST
15007418,2015,EPD ,PATROL CHECK,ARREST
15007500,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15007514,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15007630,2015,EPD ,WARRANT SERVICE,ARREST
15007696,2015,EPD ,WARRANT SERVICE,ARREST
15007716,2015,EPD ,TRAFFIC STOP,ARREST
15007793,2015,EPD ,PATROL CHECK,ARREST
15007804,2015,EPD ,TRAFFIC STOP,ARREST
15007807,2015,EPD ,ARMED DISPUTE,ARREST
15007856,2015,EPD ,CRIMINAL TRESPASS,ARREST
15007951,2015,EPD ,CRIMINAL TRESPASS,ARREST
15008093,2015,EPD ,DISPUTE,ARREST
15008131,2015,EPD ,CHECK WELFARE,ARREST
15008270,2015,EPD ,ASSAULT,ARREST
15008308,2015,EPD ,DISORDERLY SUBJECT,ARREST
15008372,2015,EPD ,PATROL CHECK,ARREST
15008393,2015,EPD ,THEFT,ARREST
15008578,2015,EPD ,WARRANT SERVICE,ARREST
15008788,2015,EPD ,DISPUTE,ARREST
15008824,2015,EPD ,ASSAULT WITH INJURY,ARREST
15008895,2015,EPD ,LOCATION WANTED SUBJECT,ARREST
15008960,2015,EPD ,ROBBERY,ARREST
15009109,2015,EPD ,WARRANT SERVICE,ARREST
15009134,2015,EPD ,DISPUTE,ARREST
15009422,2015,EPD ,ARREST,ARREST
15009448,2015,EPD ,SUSPICIOUS VEHICLE,ARREST
15009615,2015,EPD ,WARRANT SERVICE,ARREST
15009643,2015,EPD ,WARRANT SERVICE,ARREST
15009736,2015,EPD ,DISPUTE,ARREST
15009782,2015,EPD ,CHECK WELFARE,ARREST
15009802,2015,EPD ,IN POSSESSION OF NARCOTICS,ARREST
15010155,2015,EPD ,PERSON STOP,ARREST
15010233,2015,EPD ,WARRANT SERVICE,ARREST
15010333,2015,EPD ,CRIMINAL TRESPASS,ARREST
15010357,2015,EPD ,WARRANT SERVICE,ARREST
15010387,2015,EPD ,WARRANT SERVICE,ARREST
15010450,2015,EPD ,WARRANT SERVICE,ARREST
15010645,2015,EPD ,WARRANT SERVICE,ARREST
15010705,2015,EPD ,DISPUTE,ARREST
15010838,2015,EPD ,DUII,ARREST
15010891,2015,EPD ,PERSON STOP,ARREST
15010921,2015,EPD ,PERSON STOP,ARREST
15011103,2015,EPD ,WARRANT SERVICE,ARREST
15011187,2015,EPD ,LOCATION WANTED SUBJECT,ARREST
15011215,2015,EPD ,PERSON STOP,ARREST
15011228,2015,EPD ,PERSON STOP,ARREST
15011272,2015,EPD ,PERSON STOP,ARREST
15011298,2015,EPD ,PERSON STOP,ARREST
15011524,2015,EPD ,PERSON STOP,ARREST
15011651,2015,EPD ,VIOLATION OF RESTRAINING ORDER,ARREST
15011682,2015,EPD ,TRAFFIC STOP,ARREST
15011715,2015,EPD ,TRAFFIC STOP,ARREST
15011781,2015,EPD ,PATROL CHECK,ARREST
15011790,2015,EPD ,PERSON STOP,ARREST
15011812,2015,EPD ,DISPUTE,ARREST
15011818,2015,EPD ,TRAFFIC STOP,ARREST
15011854,2015,EPD ,CRIMINAL TRESPASS,ARREST
15012160,2015,EPD ,DISORDERLY SUBJECT,ARREST
15012210,2015,EPD ,CRIMINAL TRESPASS,ARREST
15012337,2015,EPD ,THEFT,ARREST
15012555,2015,EPD ,THEFT,ARREST
15012661,2015,EPD ,DISPUTE,ARREST
15012708,2015,EPD ,INCOMPLETE CALL,ARREST
15012739,2015,EPD ,UNAUTHORIZED USE OF VEHICLE,ARREST
15012770,2015,EPD ,HARASSMENT,ARREST
15012953,2015,EPD ,WARRANT SERVICE,ARREST
15013031,2015,EPD ,DISPUTE,ARREST
15013072,2015,EPD ,ASSAULT,ARREST
15013107,2015,EPD ,WARRANT SERVICE,ARREST
15013152,2015,EPD ,PERSON STOP,ARREST
15013279,2015,EPD ,THEFT,ARREST
15013281,2015,EPD ,PERSON STOP,ARREST
15013302,2015,EPD ,SUSPICIOUS SUBJECT,ARREST
15013319,2015,EPD ,THEFT,ARREST
15013351,2015,EPD ,PERSON STOP,ARREST
15013367,2015,EPD ,MOTOR VEH ACC UNKNOWN INJ,ARREST
15013399,2015,EPD ,SUSPICIOUS SUBJECT,ARREST
15013461,2015,EPD ,MOTOR VEH ACC NO INJURY,ARREST
15013626,2015,EPD ,CHECK WELFARE,ARREST
15013660,2015,EPD ,WARRANT SERVICE,ARREST
15013714,2015,EPD ,WARRANT SERVICE,ARREST
15013743,2015,EPD ,CHILD ABUSE,ARREST
15013893,2015,EPD ,WARRANT SERVICE,ARREST
15014026,2015,EPD ,PERSON STOP,ARREST
15014071,2015,EPD ,CRIMINAL TRESPASS,ARREST
15014091,2015,EPD ,PERSON STOP,ARREST
15014330,2015,EPD ,WARRANT SERVICE,ARREST
15014350,2015,EPD ,WARRANT SERVICE,ARREST
15014569,2015,EPD ,DISORDERLY SUBJECT,ARREST
15014633,2015,EPD ,CRIMINAL TRESPASS,ARREST
15014651,2015,EPD ,DISORDERLY SUBJECT,ARREST
15014654,2015,EPD ,WARRANT SERVICE,ARREST
15014834,2015,EPD ,PERSON STOP,ARREST
15014865,2015,EPD ,WARRANT SERVICE,ARREST
15015073,2015,EPD ,DISORDERLY SUBJECT,ARREST
15015129,2015,EPD ,LOCATION WANTED SUBJECT,ARREST
15015200,2015,EPD ,WARRANT SERVICE,ARREST
15015207,2015,EPD ,WARRANT SERVICE,ARREST
15015336,2015,EPD ,WARRANT SERVICE,ARREST
15015405,2015,EPD ,DISORDERLY SUBJECT,ARREST
15015492,2015,EPD ,DISORDERLY SUBJECT,ARREST
15015562,2015,EPD ,PATROL CHECK,ARREST
15015570,2015,EPD ,ASSAULT,ARREST
15015695,2015,EPD ,WARRANT SERVICE,ARREST
15015807,2015,EPD ,FRAUD,ARREST
15015821,2015,EPD ,LOCATION WANTED SUBJECT,ARREST
15015886,2015,EPD ,DISORDERLY SUBJECT,ARREST
15015966,2015,EPD ,WARRANT SERVICE,ARREST
15015975,2015,EPD ,WARRANT SERVICE,ARREST
15016064,2015,EPD ,DISORDERLY SUBJECT,ARREST
15016169,2015,EPD ,CRIMINAL MISCHIEF,ARREST
15016174,2015,EPD ,INJURED SUBJECT,ARREST
15016292,2015,EPD ,TRAFFIC STOP,ARREST
15016305,2015,EPD ,PERSON STOP,ARREST
15016335,2015,EPD ,PERSON STOP,ARREST
15016382,2015,EPD ,PERSON STOP,ARREST
15016402,2015,EPD ,WARRANT SERVICE,ARREST
15016502,2015,EPD ,ASSIST PUBLIC- POLICE,ARREST
15016655,2015,EPD ,WARRANT SERVICE,ARREST
15016675,2015,EPD ,WARRANT SERVICE,ARREST
15016798,2015,EPD ,WARRANT SERVICE,ARREST
15016831,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15016882,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15016966,2015,EPD ,WARRANT SERVICE,ARREST
15016969,2015,EPD ,DUII,ARREST
15017036,2015,EPD ,WARRANT SERVICE,ARREST
15017080,2015,EPD ,CRIMINAL TRESPASS,ARREST
15017335,2015,EPD ,WARRANT SERVICE,ARREST
15017377,2015,EPD ,PERSON STOP,ARREST
15017480,2015,EPD ,WARRANT SERVICE,ARREST
15017495,2015,EPD ,PERSON STOP,ARREST
15017564,2015,EPD ,WARRANT SERVICE,ARREST
15017775,2015,EPD ,TRAFFIC STOP,ARREST
15017814,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15017911,2015,EPD ,CRIMINAL TRESPASS,ARREST
15017967,2015,EPD ,THEFT,ARREST
15018073,2015,EPD ,ASSAULT,ARREST
15018126,2015,EPD ,WARRANT SERVICE,ARREST
15018133,2015,EPD ,WARRANT SERVICE,ARREST
15018185,2015,EPD ,THEFT,ARREST
15018445,2015,EPD ,CRIMINAL TRESPASS,ARREST
15018461,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15018492,2015,EPD ,SUSPICIOUS VEHICLE,ARREST
15018603,2015,EPD ,PATROL CHECK,ARREST
15018639,2015,EPD ,CRIMINAL TRESPASS,ARREST
15018699,2015,EPD ,DISPUTE,ARREST
15018715,2015,EPD ,LOCATION WANTED SUBJECT,ARREST
15018766,2015,EPD ,PERSON STOP,ARREST
15018813,2015,EPD ,CRIMINAL MISCHIEF,ARREST
15018836,2015,EPD ,TRAFFIC STOP,ARREST
15019043,2015,EPD ,DISORDERLY SUBJECT,ARREST
15019256,2015,EPD ,WARRANT SERVICE,ARREST
15019365,2015,EPD ,DISORDERLY SUBJECT,ARREST
15019410,2015,EPD ,DISORDERLY SUBJECT,ARREST
15019432,2015,EPD ,ASSAULT,ARREST
15019445,2015,EPD ,DISPUTE,ARREST
15019501,2015,EPD ,ASSAULT,ARREST
15019547,2015,EPD ,PATROL CHECK,ARREST
15019571,2015,EPD ,WARRANT SERVICE,ARREST
15019590,2015,EPD ,PERSON STOP,ARREST
15019619,2015,EPD ,PERSON STOP,ARREST
15019721,2015,EPD ,TRAFFIC HAZARD,ARREST
15019733,2015,EPD ,VIOLATION OF RESTRAINING ORDER,ARREST
15020216,2015,EPD ,CRIMINAL TRESPASS,ARREST
15020334,2015,EPD ,TRAFFIC STOP,ARREST
15020352,2015,EPD ,WARRANT SERVICE,ARREST
15020356,2015,EPD ,WARRANT SERVICE,ARREST
15020379,2015,EPD ,PERSON STOP,ARREST
15020767,2015,EPD ,DISORDERLY SUBJECT,ARREST
15020833,2015,EPD ,WARRANT SERVICE,ARREST
15020980,2015,EPD ,ARMED SUBJECT,ARREST
15021038,2015,EPD ,WARRANT SERVICE,ARREST
15021110,2015,EPD ,MOTOR VEH ACC INJURY,ARREST
15021132,2015,EPD ,CRIMINAL TRESPASS,ARREST
15021178,2015,EPD ,SUSPICIOUS SUBJECT,ARREST
15021192,2015,EPD ,WARRANT SERVICE,ARREST
15021274,2015,EPD ,ARREST,ARREST
15021468,2015,EPD ,WARRANT SERVICE,ARREST
15021477,2015,EPD ,WARRANT SERVICE,ARREST
15021597,2015,EPD ,WARRANT SERVICE,ARREST
15021627,2015,EPD ,VIOLATION OF RESTRAINING ORDER,ARREST
15021672,2015,EPD ,ASSAULT,ARREST
15021793,2015,EPD ,PATROL CHECK,ARREST
15021833,2015,EPD ,DISPUTE,ARREST
15021838,2015,EPD ,DUII,ARREST
15021847,2015,EPD ,ASSAULT,ARREST
15021866,2015,EPD ,ASSIST OUTSIDE AGENCY,ARREST
15021886,2015,EPD ,ASSAULT,ARREST
15021899,2015,EPD ,PERSON STOP,ARREST
15021945,2015,EPD ,CRIMINAL TRESPASS,ARREST
15022044,2015,EPD ,SUBJECT DOWN,ARREST
15022059,2015,EPD ,DISPUTE,ARREST
15022149,2015,EPD ,CRIMINAL TRESPASS,ARREST
15022198,2015,EPD ,SHOPLIFT,ARREST
15022287,2015,EPD ,WARRANT SERVICE,ARREST
15022291,2015,EPD ,WARRANT SERVICE,ARREST
15022311,2015,EPD ,DISORDERLY SUBJECT,ARREST
15022475,2015,EPD ,DISPUTE,ARREST
15022541,2015,EPD ,WARRANT SERVICE,ARREST
15022670,2015,EPD ,SUICIDAL SUBJECT,ARREST
15022687,2015,EPD ,DUII,ARREST
15022720,2015,EPD ,ASSAULT WITH INJURY,ARREST
15022788,2015,EPD ,PERSON STOP,ARREST
15022827,2015,EPD ,DISPUTE,ARREST
15022838,2015,EPD ,PERSON STOP,ARREST
15022846,2015,EPD ,PATROL CHECK,ARREST
15022963,2015,EPD ,LOCATION WANTED SUBJECT,ARREST
15023016,2015,EPD ,DISPUTE,ARREST
15023019,2015,EPD ,ASSAULT,ARREST
15023044,2015,EPD ,THEFT,ARREST
15023202,2015,EPD ,LOCATION WANTED SUBJECT,ARREST
15023324,2015,EPD ,PERSON STOP,ARREST
15023374,2015,EPD ,CRIMINAL TRESPASS,ARREST
15023415,2015,EPD ,WARRANT SERVICE,ARREST
15023505,2015,EPD ,PERSON STOP,ARREST
15023528,2015,EPD ,WARRANT SERVICE,ARREST
15023573,2015,EPD ,SHOPLIFT,ARREST
15023622,2015,EPD ,DISPUTE,ARREST
15023628,2015,EPD ,DUII,ARREST
15023716,2015,EPD ,TRAFFIC STOP,ARREST
15023826,2015,EPD ,WARRANT SERVICE,ARREST
15024101,2015,EPD ,SUSPICIOUS SUBJECT,ARREST
15024171,2015,EPD ,CRIMINAL TRESPASS,ARREST
15024185,2015,EPD ,DISPUTE,ARREST
15024209,2015,EPD ,DISPUTE,ARREST
15024296,2015,EPD ,WARRANT SERVICE,ARREST
15024327,2015,EPD ,WARRANT SERVICE,ARREST
15024418,2015,EPD ,DISORDERLY SUBJECT,ARREST
15024424,2015,EPD ,TRAFFIC STOP,ARREST
15024486,2015,EPD ,TRAFFIC STOP,ARREST
15024488,2015,EPD ,DISORDERLY SUBJECT,ARREST
15024536,2015,EPD ,MOTOR VEH ACC NO INJURY,ARREST
15024696,2015,EPD ,LOCATION STOLEN PROPERTY,ARREST
15024967,2015,EPD ,THEFT,ARREST
15024998,2015,EPD ,DISPUTE,ARREST
15025001,2015,EPD ,WARRANT SERVICE,ARREST
15025074,2015,EPD ,NUDE SUBJECT,ARREST
15025133,2015,EPD ,WARRANT SERVICE,ARREST
15025163,2015,EPD ,THEFT,ARREST
15025169,2015,EPD ,WARRANT SERVICE,ARREST
15025212,2015,EPD ,WARRANT SERVICE,ARREST
15025234,2015,EPD ,DISORDERLY SUBJECT,ARREST
15025264,2015,EPD ,PERSON STOP,ARREST
15025363,2015,EPD ,ARSON,ARREST
15025514,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15025539,2015,EPD ,ASSAULT,ARREST
15025632,2015,EPD ,ASSAULT,ARREST
15025714,2015,EPD ,DISORDERLY SUBJECT,ARREST
15025716,2015,EPD ,CHECK WELFARE,ARREST
15025820,2015,EPD ,DISPUTE,ARREST
15025824,2015,EPD ,CRIMINAL TRESPASS,ARREST
15025833,2015,EPD ,CRIMINAL TRESPASS,ARREST
15025856,2015,EPD ,PERSON STOP,ARREST
15025875,2015,EPD ,WARRANT SERVICE,ARREST
15025959,2015,EPD ,PERSON STOP,ARREST
15026037,2015,EPD ,WARRANT SERVICE,ARREST
15026205,2015,EPD ,SUSPICIOUS SUBJECT,ARREST
15026213,2015,EPD ,CHECK WELFARE,ARREST
15026214,2015,EPD ,TRANSPORT,ARREST
15026257,2015,EPD ,THEFT,ARREST
15026260,2015,EPD ,THEFT OF SERVICES,ARREST
15026346,2015,EPD ,WARRANT SERVICE,ARREST
15026376,2015,EPD ,WARRANT SERVICE,ARREST
15026377,2015,EPD ,TRAFFIC STOP,ARREST
15026440,2015,EPD ,THEFT,ARREST
15026472,2015,EPD ,CITIZEN CONTACT,ARREST
15026526,2015,EPD ,WEAPON OFFENSE,ARREST
15026620,2015,EPD ,DISORDERLY SUBJECT,ARREST
15026683,2015,EPD ,PERSON STOP,ARREST
15026684,2015,EPD ,THEFT,ARREST
15026709,2015,EPD ,DISPUTE,ARREST
15026768,2015,EPD ,CRIMINAL TRESPASS,ARREST
15026989,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15027042,2015,EPD ,WARRANT SERVICE,ARREST
15027071,2015,EPD ,SUSPICIOUS CONDITIONS,ARREST
15027204,2015,EPD ,ASSIST OUTSIDE AGENCY,ARREST
15027438,2015,EPD ,DISPUTE FAMILY,ARREST
15027511,2015,EPD ,DISPUTE,ARREST
15027518,2015,EPD ,DUII,ARREST
15027546,2015,EPD ,WARRANT SERVICE,ARREST
15027556,2015,EPD ,THEFT,ARREST
15027596,2015,EPD ,DUII,ARREST
15027634,2015,EPD ,PERSON STOP,ARREST
15027647,2015,EPD ,HIT AND RUN,ARREST
15027660,2015,EPD ,PERSON STOP,ARREST
15027663,2015,EPD ,PATROL CHECK,ARREST
15027686,2015,EPD ,ASSAULT,ARREST
15028146,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15028366,2015,EPD ,DISORDERLY SUBJECT,ARREST
15028371,2015,EPD ,DISPUTE,ARREST
15028426,2015,EPD ,WARRANT SERVICE,ARREST
15028463,2015,EPD ,DISPUTE,ARREST
15028491,2015,EPD ,DUII,ARREST
15028531,2015,EPD ,TRAFFIC STOP,ARREST
15028539,2015,EPD ,DISPUTE,ARREST
15028569,2015,EPD ,CRIMINAL TRESPASS,ARREST
15028789,2015,EPD ,DISPUTE,ARREST
15028846,2015,EPD ,WARRANT SERVICE,ARREST
15028896,2015,EPD ,WARRANT SERVICE,ARREST
15028901,2015,EPD ,RECKLESS DRIVING,ARREST
15028990,2015,EPD ,DISPUTE,ARREST
15028998,2015,EPD ,DISPUTE,ARREST
15029015,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15029041,2015,EPD ,DISPUTE,ARREST
15029045,2015,EPD ,OVERDOSE,ARREST
15029098,2015,EPD ,LOCATE MISSING PERSON,ARREST
15029267,2015,EPD ,PERSON STOP,ARREST
15029290,2015,EPD ,ARREST,ARREST
15029309,2015,EPD ,ATTEMPT TO LOCATE DRUNK DRIVER,ARREST
15029361,2015,EPD ,CRIMINAL TRESPASS,ARREST
15029377,2015,EPD ,TRAFFIC STOP,ARREST
15029389,2015,EPD ,BURGLARY,ARREST
15029431,2015,EPD ,ATTEMPT TO LOCATE DRUNK DRIVER,ARREST
15029452,2015,EPD ,PATROL CHECK,ARREST
15029561,2015,EPD ,WARRANT SERVICE,ARREST
15029917,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15029941,2015,EPD ,CRIMINAL TRESPASS,ARREST
15029953,2015,EPD ,ASSAULT,ARREST
15029999,2015,EPD ,VIOLATION OF RESTRAINING ORDER,ARREST
15030062,2015,EPD ,PATROL CHECK,ARREST
15030076,2015,EPD ,DISPUTE,ARREST
15030143,2015,EPD ,DISPUTE,ARREST
15030201,2015,EPD ,DISORDERLY SUBJECT,ARREST
15030206,2015,EPD ,DISORDERLY SUBJECT,ARREST
15030466,2015,EPD ,WARRANT SERVICE,ARREST
15030516,2015,EPD ,PERSON STOP,ARREST
15030649,2015,EPD ,WARRANT SERVICE,ARREST
15030712,2015,EPD ,VIOLATION OF RESTRAINING ORDER,ARREST
15030951,2015,EPD ,DISPUTE,ARREST
15030977,2015,EPD ,TRAFFIC STOP,ARREST
15031047,2015,EPD ,DISORDERLY SUBJECT,ARREST
15031077,2015,EPD ,CRIMINAL TRESPASS,ARREST
15031097,2015,EPD ,ARMED SUBJECT,ARREST
15031098,2015,EPD ,PERSON STOP,ARREST
15031488,2015,EPD ,DISORDERLY SUBJECT,ARREST
15031564,2015,EPD ,WARRANT SERVICE,ARREST
15031569,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15031707,2015,EPD ,CRIMINAL TRESPASS,ARREST
15031716,2015,EPD ,DISORDERLY SUBJECT,ARREST
15032001,2015,EPD ,CRIMINAL TRESPASS,ARREST
15032042,2015,EPD ,DISORDERLY SUBJECT,ARREST
15032120,2015,EPD ,PERSON STOP,ARREST
15032198,2015,EPD ,SHOPLIFT,ARREST
15032219,2015,EPD ,VIOLATION OF RESTRAINING ORDER,ARREST
15032228,2015,EPD ,DISORDERLY SUBJECT,ARREST
15032371,2015,EPD ,CRIMINAL TRESPASS,ARREST
15032550,2015,EPD ,THEFT,ARREST
15032557,2015,EPD ,CRIMINAL TRESPASS,ARREST
15032708,2015,EPD ,PERSON STOP,ARREST
15032726,2015,EPD ,WARRANT SERVICE,ARREST
15032933,2015,EPD ,CHECK WELFARE,ARREST
15033028,2015,EPD ,SUSPICIOUS CONDITIONS,ARREST
15033125,2015,EPD ,BURGLARY,ARREST
15033234,2015,EPD ,DISPUTE,ARREST
15033249,2015,EPD ,CRIMINAL TRESPASS,ARREST
15033357,2015,EPD ,CRIMINAL TRESPASS,ARREST
15033410,2015,EPD ,PERSON STOP,ARREST
15033631,2015,EPD ,WARRANT SERVICE,ARREST
15033900,2015,EPD ,PERSON STOP,ARREST
15033925,2015,EPD ,WARRANT SERVICE,ARREST
15033967,2015,EPD ,PERSON STOP,ARREST
15034266,2015,EPD ,UNKNOWN PROBLEM,ARREST
15034314,2015,EPD ,DISPUTE,ARREST
15034330,2015,EPD ,PERSON STOP,ARREST
15034388,2015,EPD ,ATTEMPT TO LOCATE,ARREST
15034448,2015,EPD ,ARREST,ARREST
15034473,2015,EPD ,WARRANT SERVICE,ARREST
15034672,2015,EPD ,PERSON STOP,ARREST
15034699,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15034785,2015,EPD ,STALKING COMPLAINT,ARREST
15034913,2015,EPD ,WARRANT SERVICE,ARREST
15035002,2015,EPD ,SHOTS FIRED,ARREST
15035005,2015,EPD ,PERSON STOP,ARREST
15035090,2015,EPD ,DISPUTE,ARREST
15035159,2015,EPD ,HIT AND RUN,ARREST
15035194,2015,EPD ,LOCATION WANTED SUBJECT,ARREST
15035224,2015,EPD ,DISPUTE,ARREST
15035264,2015,EPD ,PERSON STOP,ARREST
15035356,2015,EPD ,TRAFFIC STOP,ARREST
15035466,2015,EPD ,DISORDERLY SUBJECT,ARREST
15035467,2015,EPD ,WARRANT SERVICE,ARREST
15035630,2015,EPD ,SHOPLIFT,ARREST
15035856,2015,EPD ,THEFT,ARREST
15035909,2015,EPD ,WARRANT SERVICE,ARREST
15035914,2015,EPD ,THEFT,ARREST
15035939,2015,EPD ,PERSON STOP,ARREST
15036068,2015,EPD ,DISPUTE,ARREST
15036149,2015,EPD ,ATTEMPT TO LOCATE DRUNK DRIVER,ARREST
15036208,2015,EPD ,DISPUTE,ARREST
15036287,2015,EPD ,SUBJECT DOWN,ARREST
15036413,2015,EPD ,DISORDERLY SUBJECT,ARREST
15036486,2015,EPD ,ROBBERY,ARREST
15036490,2015,EPD ,WARRANT SERVICE,ARREST
15036505,2015,EPD ,LOCATE MISSING PERSON,ARREST
15036551,2015,EPD ,SHOPLIFT 3050 PROGRAM,ARREST
15036807,2015,EPD ,LOCATION WANTED SUBJECT,ARREST
15036910,2015,EPD ,DISPUTE,ARREST
15037145,2015,EPD ,WARRANT SERVICE,ARREST
15037297,2015,EPD ,INFORMATION- BOTH PD AND FD,ARREST
15037486,2015,EPD ,ASSAULT,ARREST
15037517,2015,EPD ,DISPUTE,ARREST
15037542,2015,EPD ,INTOXICATED SUBJECT,ARREST
